Institute,Program,Seat Type,Gender,OR,CR
IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,492,713
IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1459,1459
IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,314,360
IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1107,1107
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4522,7545
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),12528,16482
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,219,219
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,875,1225
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2452,2614
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2249,2937
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5816,7110
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,406,1871
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2800,3219
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,648,804
IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1254,1254
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,8439,11274
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),20322,22422
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1452,1912
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3256,3256
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3993,4698
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8111,8462
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2302,2719
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3427,3707
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1082,1242
IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1677,1677
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5679,7419
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),13917,13924
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1079,1395
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2569,3048
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6205,6205
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1221,1502
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2634,2634
IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,566,795
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3830,4872
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),10128,12034
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,143,143
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,784,951
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1802,1802
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1818,2264
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4002,4993
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,153,1225
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2074,2146
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,484,593
IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1112,1112
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6545,11111
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),17306,19074
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1593,1768
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3224,3419
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3070,4752
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7011,8479
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2039,2682
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2957,3714
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1118,1281
IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1752,1752
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,11734,13685
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),20949,21618
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",EWS,Gender-Neutral,2194,2307
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),3934,3934
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,3570,5621
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),9334,10019
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Gender-Neutral,2756,3316
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4072,4255
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Gender-Neutral,1390,1473
IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),2103,2103
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,Gender-Neutral,9970,19141
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,Female-only (including Supernumerary),19716,24124
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",EWS,Gender-Neutral,2807,2821
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",EWS,Female-only (including Supernumerary),4587,4587
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",OBC-NCL,Gender-Neutral,5668,6770
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",SC,Gender-Neutral,3006,3376
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",SC,Female-only (including Supernumerary),4112,4112
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,1625,1736
IIT Kharagpur,"Architecture  (5 Years, Bachelor of Architecture)",ST,Female-only (including Supernumerary),1830,1830
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,461,953
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2901,3194
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),117,117
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,104,143
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),342,342
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,218,381
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1056,1146
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,40,40
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Gender-Neutral,144,268
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),463,659
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Gender-Neutral,66,90
IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),144,144
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6774,9224
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7274,14841
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,205,205
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1357,1464
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2580,2580
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3286,3746
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6803,7510
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1715,2287
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3063,3218
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,812,1275
IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1729,1729
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4379,5222
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7574,11358
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,174,223
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,814,963
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1736,1930
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1906,2325
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4139,5343
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,985,1359
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1667,2423
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,625,721
IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1306,1372
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,11214,12321
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),20022,21532
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1808,2197
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),3820,3820
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,4745,5584
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),8928,8982
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Gender-Neutral,2804,3217
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3576,3576
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,1394,1477
IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),2027,2027
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6188,7774
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),13875,15272
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,244,244
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1017,1243
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2137,2375
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2456,3042
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4969,6283
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1233,1768
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2379,2669
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,503,583
IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),727,781
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,238,466
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1202,1908
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,18,22
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),70,70
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,45,78
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),224,236
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,7,8
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,94,212
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),583,842
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,21,21
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,46,108
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),316,404
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,6,8
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,43,68
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),94,138
IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST (PwD),Gender-Neutral,4,4
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,3681,6063
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),10113,12877
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,774,1144
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),2143,2143
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,2200,2677
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),5844,6381
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Gender-Neutral,1424,1877
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3000,3247
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,835,1006
IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1539,1539
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1492,1985
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4721,5393
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,138,159
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,230,333
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),644,694
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,21,21
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,700,884
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2267,2711
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,75,75
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,327,560
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1290,1412
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,194,246
IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),624,643
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,419,1485
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),3229,4734
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,55,64
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),123,123
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,132,263
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),504,541
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,4,4
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,415,646
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1467,1798
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,44,56
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,100,393
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),299,892
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,61,192
IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),346,392
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,11359,12443
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),19766,20854
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,2006,2240
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),3723,3723
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,4503,5210
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),8732,9204
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Gender-Neutral,2772,2932
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4234,4234
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1276,1453
IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),2040,2040
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2873,4329
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),9189,10288
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,618,865
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1505,1505
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1185,2086
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3805,6079
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1004,1354
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2622,2731
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,738,882
IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1333,1333
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2077,2741
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6076,7896
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,156,156
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,379,463
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1400,1400
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,890,1227
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3342,3619
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,773,943
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2326,2326
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,774,787
IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1007,1007
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5124,6547
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),12718,14070
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1053,1267
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2743,2743
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2449,3176
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5331,6353
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1431,1994
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2826,3312
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,850,1143
IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1589,1589
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,519,1336
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),3754,4563
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OPEN (PwD),Gender-Neutral,47,47
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",EWS,Gender-Neutral,177,270
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),559,559
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,523,751
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),1968,2575
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",OBC-NCL (PwD),Gender-Neutral,80,80
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Gender-Neutral,416,565
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),965,1136
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Gender-Neutral,252,342
IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),602,602
IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2773,4016
IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7605,10333
IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,195,238
IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,513,681
IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1412,1617
