Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),21659,22403
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1931,2184
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3628,4834
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6849,6849
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2568,2874
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3531,3531
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1221,1221
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4174,4708
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7679,8804
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,739,770
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1664,2092
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4715,4715
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,989,1200
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2114,2114
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,619,769
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,7759,11678
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),17144,20366
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,154,154
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1573,1717
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2880,3157
